source,target,content
Prissy_girl64,AustinMahone,non tweet
walkerjian,The_First_ETC,non tweet
walkerjian,yelyahwilliams,non tweet
haley0196,AmakaUbakaTV,non tweet
haley0196,DeniseNBCBoston,non tweet
haley0196,JasminaAlstonTV,non tweet
haley0196,TajaDavisKGUN,non tweet
haley0196,AutumnWTSP,non tweet
haley0196,_CourtneyNews,non tweet
haley0196,WilliamsSharrie,non tweet
haley0196,YalishaG,non tweet
GregPappasJr,GregPappasJr,tweet
DakotaCrawford_,eji_org,non tweet
KevDollkey,KevDollkey,tweet
FannibalFest,gmail,non tweet
kantoveruna,kantoveruna,tweet
CatherineVrdr,CatherineVrdr,tweet
AUCoachHoppa,AUCoachHoppa,tweet
julie_james,TheTonyAwards,non tweet
FedOwned823,MittRomney,non tweet
FedOwned823,MittRomney,non tweet
chellemmusic,kimlatricejones,non tweet
chellemmusic,Madonna,non tweet
chellemmusic,Madonna,non tweet
chellemmusic,batemanjason,non tweet
mar_polizzi,mar_polizzi,tweet
MrBees01,SamsonKasumba,non tweet
ZeroSyndicate,RoninRumble,non tweet
ZeroSyndicate,SwellChum,non tweet
ZeroSyndicate,SuperDynamiteD,non tweet
_purplesmiles_,_purplesmiles_,tweet
QUARTZ45,FINALLEVEL,non tweet
minygexclusive,I_Am_Spring_Day,non tweet
tayylormadeit,tayylormadeit,tweet
goodyhoops,_deeforthree_,non tweet
carwseattle,carwseattle,tweet
Taxpayers1234,Taxpayers1234,tweet
PVelleAntiJihad,PVelleAntiJihad,tweet
Saysyeswecan,Saysyeswecan,tweet
sarazin_demetri,sarazin_demetri,tweet
CJgolfs,SenatorRomney,non tweet
fitsum,treasurefingers,non tweet
BusStationDrift,BusStationDrift,tweet
Purplestarlets,OneInAnARMY,non tweet
Montclair_MBB,Montclair_MBB,tweet
YiannisT86,etnow,non tweet
ericlbooker,ericlbooker,tweet
quaack4k,hobiicola,non tweet
quaack4k,zzztaehyung,non tweet
quaack4k,jjeonmins,non tweet
quaack4k,funkytownangel,non tweet
quaack4k,starlightinked,non tweet
quaack4k,mnjoonsope,non tweet
quaack4k,FlyingJKDoll,non tweet
quaack4k,jkyoongs,non tweet
quaack4k,communistynkk,non tweet
quaack4k,Vs_Winter_Bear,non tweet
quaack4k,kookarc,non tweet
quaack4k,yoonsflirt,non tweet
quaack4k,ohmgloona,non tweet
quaack4k,gguki_shi,non tweet
quaack4k,JOONCLlT,non tweet
quaack4k,sleephoya,non tweet
quaack4k,outrojiin,non tweet
larevuecrap,larevuecrap,tweet
Boadiiii,Mxtiqe,non tweet
MusicUKnowTV,MusicUKnowTV,tweet
moontasir190,YouTube,non tweet
moontasir190,Casey,non tweet
Gramoss,Gramoss,tweet
AABS_Tweets,talibkweli,non tweet
desm7496,troubleshade,non tweet
LeePottsPoet,LeePottsPoet,tweet
rmlv3r,rmlv3r,tweet
bgirlmama,BTS_twt,non tweet
extremetaryn,mellablissera,non tweet
extremetaryn,Tyla_Cugno,non tweet
extremetaryn,aniyaabankss,non tweet
extremetaryn,sashasquake,non tweet
extremetaryn,bayleysqueen,non tweet
extremetaryn,crownfIair,non tweet
extremetaryn,blisstatements,non tweet
