source,target,content
DavidFDodge1,StephanieAgos15,non tweet
DavidFDodge1,CNN,non tweet
Diana_Hawarneh,Diana_Hawarneh,tweet
amalieflynn,amalieflynn,tweet
NoSurveillance2,NoSurveillance2,tweet
thequ4nt,DNC,non tweet
thequ4nt,DNC,non tweet
thequ4nt,SpeakerPelosi,non tweet
thequ4nt,GeorgeFloyd,non tweet
AGL4789,AGL4789,tweet
terwiterwoo11,racisminUKedu,non tweet
terwiterwoo11,SuttonCouncil,non tweet
terwiterwoo11,educationgovuk,non tweet
terwiterwoo11,CharsleyMonica,non tweet
HeyItsMurad,HeyItsMurad,tweet
HunterInAKilt,jarpad,non tweet
diverdown48,diverdown48,tweet
Kingzellyx,Kingzellyx,tweet
liang_polly,YouTube,non tweet
just_jayne8,GOP,non tweet
just_jayne8,SenateGOP,non tweet
just_jayne8,HouseGOP,non tweet
FullyVaxxedDude,FullyVaxxedDude,tweet
VerandaBaker,VerandaBaker,tweet
WearyVet,WearyVet,tweet
beelasn_c,hippocrates16,non tweet
beelasn_c,Earlofavon1,non tweet
beelasn_c,GoGetTony,non tweet
beelasn_c,darcybbc,non tweet
beelasn_c,AyoCaesar,non tweet
beelasn_c,OwenJones84,non tweet
